"devicedb_id","hubelean_id","location_name","location_address","longitude","latitude","TotalNbOfConnectors","ConnectorType"
"151","UAE-HBN-CCL17","DEIRA-Warsan Store 01","DEWA, Dubai, United Arab Emirates","55.4342699","25.1499405","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"153","UAE-HBN-CCL18","DEIRA-Warsan Store 02","DEWA, Dubai, United Arab Emirates","55.4364","25.1497","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"154","UAE-HBN-CCL19","DEIRA-Rowaiyah -Green Garage 02","DEWA, Dubai, United Arab Emirates","55.429","25.149","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"155","UAE-HBN-CCL20","BUR DUBAI-Burj Khalifa/Armani","EMAAR, Dubai, United Arab Emirates","55.273","25.198","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"156","UAE-HBN-CCL21","DEIRA-Rowaiyah -Green Garage 04","DEWA, Dubai, United Arab Emirates","55.429","25.149","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"157","UAE-HBN-CCL22","DEIRA-Al Twar Center 01","Dubai, Al Twar 2, Al Twar, United Arab Emirates","55.385","25.262","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"158","UAE-HBN-CCL23","DEIRA-Al Twar Center 02","Dubai Municipality, Dubai, United Arab Emirates","55.383","25.262","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"159","UAE-HBN-CCL24","DEIRA-Umm Ramool 01","Dubai Municipality, United Arab Emirates","55.361","25.237","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"160","UAE-HBN-CCL25","BUR DUBAI-Neighborhood Park -Al Barsha South 1","Dubai Municipality, Dubai, United Arab Emirates","55.2297","25.0909","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"161","UAE-HBN-CCL26","DEIRA","Dubai Municipality 01, Dubai, United Arab Emirates","55.312","25.264","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"162","UAE-HBN-CCL27","DEIRA","Dubai Municipality 02, Dubai, United Arab Emirates","55.312","25.264","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"163","UAE-HBN-CCL28","BUR DUBAI-Manara Center","Dubai Municipality, Dubai, United Arab Emirates","55.227","25.157","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"164","UAE-HBN-CCL29","BUR DUBAI-Global Village - VIP Parking","Dubai, United Arab Emirates","55.303","25.07","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"165","UAE-HBN-CCL30","J.ALI-ENOC Petrol Station (1057) Jabel Ali E311","ENOC, Dubai, United Arab Emirates","55.026","24.869","3","ChaDeMo , Combo CCS , 62196-2 (Three Phase)"
"166","UAE-HBN-CCL31","BUR DUBAI-Rashid Hospital","Dubai Health Authority, Dubai, United Arab Emirates","55.3186076","25.2448703","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"169","UAE-HBN-CCL33","J.ALI-Jabel Ali Power House-M station","DEWA, Dubai, United Arab Emirates","55.108","25.046","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"170","UAE-HBN-CCL34","J.ALI-Jabel Ali Power House-L station","DEWA, Dubai, United Arab Emirates","55.114","25.054","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"171","UAE-HBN-CCL35","J.ALI-EPPCO Petrol Station (61) Jebal Ali E11","ENOC, Dubai, United Arab Emirates","55.011","24.929","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"172","UAE-HBN-CCL36","J.ALI-ENOC petrol station (1056) DIP","ENOC, Dubai, United Arab Emirates","55.147","25.017","2","Combined ChaDeMo/ComboCCS , 62196-2 (Three Phase)"
"173","UAE-HBN-CCL37","BUR DUBAI-Main Office Customer Service Center 03","DEWA, Dubai, United Arab Emirates","55.3244669","25.2272278","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"174","UAE-HBN-CCL38","BUR DUBAI-ENOC Petrol Station (1035) Umm Suqeim","ENOC, Dubai, United Arab Emirates","55.215","25.169","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"180","UAE-HBN-CCL44","BUR DUBAI-ENOC Petrol Station (1088) Zabeel","ENOC, Dubai, United Arab Emirates","55.314","25.22","2","Combined ChaDeMo/ComboCCS , 62196-2 (Three Phase)"
"181","UAE-HBN-CCL45","BUR DUBAI-Sustainable City 01","Sustainable City, Dubai, United Arab Emirates","55.274","25.028","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
